,i,time,g_load,p_load,p_pv,k_fc_p,k_fc_g,k_eb,t_ht_l,t_de_l,soc_b_l,k_b,ghp_has_open,opex,p_eb,p_fc,p_pur,p_b,lambda_ele_in,g_fc,g_eb,g_hp,g_ht,h_pur,cop_hp,g_gtw,t_gtw_out,t_gtw_in,t_b,t_ht,t_de,soc_b,p_eb_UP,p_eb_LOW,g_eb_UP,g_eb_LOW,p_fc_UP,p_fc_LOW,g_fc_UP,g_fc_LOW,p_b_UP,p_b_LOW,p_pv_UP,p_pv_LOW,g_hp_UP,g_hp_LOW,t_ht_l_UP,t_ht_l_LOW,t_de_l_UP,t_de_l_LOW,soc_b_l_UP,soc_b_l_LOW,h_fc_UP,h_fc,h_fc_LOW,g_balance_SA_RHSUP,g_balance_RHS,g_balance_SA_RHSLOW,p_balance_SA_RHSUP,p_balance_RHS,p_balance_SA_RHSLOW,p_pv_rhs_SA_RHSUP,p_pv_rhs,p_pv_rhs_SA_RHSLOW,g_load_UP,g_load_LOW,p_load_UP,p_load_LOW,etm
10,8,0.000,1913.283,250.739,227.760,12.027,16.023,0.820,55.000,47.000,49.989,0.950,3.700,463.593,0.000,311.153,0.000,31.087,0.844,414.505,0.000,924.365,664.414,25.870,3.081,624.365,8.943,6.713,9.247,53.037,47.000,17.266,0.000,0.000,47.499,0.000,311.153,311.153,414.505,414.505,31.087,31.087,227.760,227.760,924.365,924.365,55.000,55.000,47.000,47.000,49.989,49.989,25.870,25.870,25.870,5011.561,4945.783,4821.117,4663.582,4570.000,4520.623,277.137,227.760,134.178,1979.061,1788.617,363.582,220.623,2
11,9,0.000,1868.726,229.458,400.369,12.027,16.023,0.820,53.037,47.000,50.242,0.950,4.700,122.027,0.000,81.902,0.000,47.730,0.844,109.106,0.000,909.344,940.276,6.810,3.031,609.344,8.529,6.353,8.826,50.288,47.000,0.000,0.000,0.000,30.082,0.000,81.902,81.902,109.106,109.106,47.730,47.730,400.369,400.369,909.344,909.344,53.037,53.037,47.000,47.000,50.242,50.242,6.810,6.810,6.810,5017.343,4901.226,4822.274,4589.266,4530.000,4448.098,482.270,400.369,341.102,1984.843,1789.774,289.266,148.098,2
12,10,0.000,1909.113,230.926,374.648,12.027,16.023,0.820,50.288,47.000,50.834,0.950,5.700,450.025,146.695,302.047,0.000,0.000,0.844,402.373,120.290,901.001,575.449,25.113,3.003,601.001,8.299,6.152,8.592,48.587,47.000,50.834,146.695,146.695,120.290,120.290,302.047,302.047,402.373,402.373,0.000,0.000,374.648,374.648,901.001,901.001,50.288,50.288,47.000,47.000,50.834,50.834,25.113,25.113,25.113,5582.855,4941.613,4625.903,4766.992,4530.000,3737.254,1167.394,374.648,137.656,2550.355,1593.403,466.992,-562.746,2
13,11,0.000,1295.852,225.640,442.788,12.027,16.023,0.820,48.587,47.000,50.834,0.950,6.700,196.830,44.896,132.108,0.000,0.000,0.844,175.988,36.815,895.267,277.781,10.984,2.984,595.267,8.141,6.015,8.431,47.741,47.000,50.834,44.896,44.896,36.815,36.815,132.108,132.108,175.988,175.988,0.000,0.000,442.788,442.788,895.267,895.267,48.587,48.587,47.000,47.000,50.834,50.834,10.984,10.984,10.984,5335.328,4328.352,4231.728,4602.532,4530.000,4183.272,789.516,442.788,370.256,2302.828,1199.228,302.532,-116.728,2
14,11,0.300,1295.852,225.640,0.001,12.027,16.023,0.820,48.333,47.000,50.834,0.950,7.000,717.704,0.000,481.707,0.000,48.292,0.844,641.708,0.000,895.267,-151.123,40.050,2.984,595.267,8.141,6.015,8.431,48.713,47.000,0.000,0.000,0.000,83.579,0.000,481.707,481.707,641.708,641.708,48.292,48.292,0.001,0.001,895.267,895.267,48.333,48.333,47.000,47.000,50.834,50.834,40.050,40.050,40.050,4712.818,4328.352,4108.991,4648.293,4530.000,4241.396,288.605,0.001,0.000,1680.318,1076.491,348.293,-58.604,2
15,11,0.700,1295.852,225.640,442.788,12.027,16.023,0.820,48.485,47.000,51.077,0.950,7.400,209.218,53.211,140.423,0.000,0.000,0.844,187.065,43.633,895.267,259.887,11.675,2.984,595.267,8.141,6.015,8.431,47.690,47.000,51.077,53.211,53.211,43.633,43.633,140.423,140.423,187.065,187.065,0.000,0.000,442.788,442.788,895.267,895.267,48.485,48.485,47.000,47.000,51.077,51.077,11.675,11.675,11.675,5317.434,4328.352,4213.834,4615.964,4530.000,4161.450,811.338,442.788,356.824,2284.934,1181.334,315.964,-138.550,2
16,12,0.000,1210.566,232.605,473.696,12.027,16.023,0.820,48.247,47.000,51.077,0.950,7.700,151.330,233.545,0.000,289.849,0.000,0.522,0.000,191.507,890.921,218.138,0.000,2.970,590.921,8.021,5.911,8.309,47.572,47.000,51.077,233.545,233.545,191.507,191.507,0.000,0.000,147.119,0.000,0.000,0.000,473.696,473.696,890.921,890.921,48.247,48.247,47.000,47.000,51.077,51.077,0.000,0.000,0.000,6347.558,4243.066,4051.558,inf,4530.000,4240.151,763.545,473.696,0.000,3315.058,1019.058,inf,-59.849,2
17,13,0.000,1295.831,245.700,448.744,12.027,16.023,0.820,47.572,47.000,51.077,0.950,8.700,296.069,485.818,0.000,567.074,0.000,0.522,0.000,398.371,887.428,100.032,0.000,2.958,587.428,7.925,5.827,8.211,47.236,47.000,51.077,485.818,485.818,398.371,398.371,0.000,0.000,287.829,0.000,0.000,0.000,448.744,448.744,887.428,887.428,47.572,47.572,47.000,47.000,51.077,51.077,0.000,0.000,0.000,6225.960,4328.331,3929.960,inf,4530.000,3962.926,1015.818,448.744,0.000,3193.460,897.460,inf,-337.074,2
18,14,0.000,1221.183,215.771,458.029,12.027,16.023,0.820,47.236,47.000,51.077,0.950,9.700,282.988,470.048,0.000,542.019,0.000,0.522,0.000,385.439,884.513,41.230,0.000,2.948,584.513,7.844,5.757,8.129,47.070,47.000,51.077,470.048,470.048,385.439,385.439,0.000,0.000,275.112,0.000,0.000,0.000,458.029,458.029,884.513,884.513,47.236,47.236,47.000,47.000,51.077,51.077,0.000,0.000,0.000,6164.243,4253.683,3868.243,inf,4530.000,3987.981,1000.048,458.029,0.000,3131.743,835.743,inf,-312.019,2
19,14,0.500,1621.183,315.771,458.029,12.027,16.023,0.820,47.153,47.000,51.077,0.950,10.200,628.765,975.566,0.000,1204.299,-156.761,0.522,0.000,799.964,884.513,26.705,0.000,2.948,584.513,7.844,5.757,8.129,47.028,47.000,200.000,975.566,975.566,799.964,799.964,0.000,0.000,611.265,0.000,-156.761,-156.761,458.029,458.029,884.513,884.513,47.153,47.153,47.000,47.000,51.077,51.077,0.000,0.000,0.000,6149.718,4653.683,3853.718,inf,4530.000,3325.701,1662.328,458.029,0.000,3117.218,821.218,inf,-974.299,2
20,15,0.000,1633.046,341.460,363.484,12.027,16.023,0.820,47.090,47.000,54.114,0.950,10.700,1099.824,1940.022,0.000,2106.538,0.000,0.522,0.000,1590.818,882.015,-749.787,0.000,2.940,582.015,7.775,5.697,8.059,49.185,47.000,54.114,1940.022,1940.022,1590.818,1590.818,0.000,0.000,799.293,0.000,0.000,0.000,363.484,363.484,882.015,882.015,47.090,47.090,47.000,47.000,54.114,54.114,0.000,0.000,0.000,5370.728,4665.546,3074.728,inf,4530.000,2423.462,2470.022,363.484,0.000,2338.228,42.228,inf,-1876.538,2
21,15,0.200,1633.046,341.460,363.484,12.027,16.023,0.600,47.509,47.000,54.114,0.950,10.900,893.951,403.714,600.000,0.000,-29.770,0.522,799.293,242.228,882.015,-200.491,49.886,2.940,582.015,7.775,5.697,8.059,48.035,47.000,82.395,403.714,403.714,242.228,242.228,600.000,600.000,799.293,799.293,-29.770,-29.770,363.484,363.484,882.015,882.015,47.509,47.509,47.000,47.000,54.114,54.114,49.886,49.886,49.886,4955.180,4665.546,4265.505,4933.714,4530.000,3863.265,1030.219,363.484,0.000,1922.680,1233.005,633.714,-436.735,2
