,i,time,g_load,p_load,p_pv,k_fc_p,k_fc_g,k_eb,t_ht_l,t_de_l,soc_b_l,k_b,ghp_has_open,opex,p_eb,p_fc,p_pur,p_b,lambda_ele_in,g_fc,g_eb,g_hp,g_ht,h_pur,cop_hp,g_gtw,t_gtw_out,t_gtw_in,t_b,t_ht,t_de,soc_b,p_eb_UP,p_eb_LOW,g_eb_UP,g_eb_LOW,p_fc_UP,p_fc_LOW,g_fc_UP,g_fc_LOW,p_b_UP,p_b_LOW,p_pv_UP,p_pv_LOW,g_hp_UP,g_hp_LOW,t_ht_l_UP,t_ht_l_LOW,t_de_l_UP,t_de_l_LOW,soc_b_l_UP,soc_b_l_LOW,h_fc_UP,h_fc,h_fc_LOW,g_balance_SA_RHSUP,g_balance_RHS,g_balance_SA_RHSLOW,p_balance_SA_RHSUP,p_balance_RHS,p_balance_SA_RHSLOW,p_pv_rhs_SA_RHSUP,p_pv_rhs,p_pv_rhs_SA_RHSLOW,g_load_UP,g_load_LOW,p_load_UP,p_load_LOW,etm
10,8,0,1913.283,250.739,227.76,12.027,16.023,0.82,55,47,200,0.95,3,198.128,0,132.979,0,190,0.844,177.149,0,924.365,901.769,11.056,3.081,624.365,8.943,6.713,9.247,52.358,47,0,0,0,57.048,0,132.979,132.979,177.149,177.149,190,190,227.76,227.76,924.365,924.365,55,55,47,47,200,200,11.056,11.056,11.056,5205.567,4945.783,4796.056,4663.133,4550.739,4417.76,360.739,227.76,115.365,2173.067,1763.556,363.133,117.76,2
11,9,0,1868.726,229.458,400.369,12.027,16.023,0.82,52.358,47,0,0.95,4,192.332,0,129.089,0,0,0.844,171.966,0,909.344,877.416,10.733,3.031,609.344,8.529,6.353,8.826,49.79,47,0,0,0,96.489,0,129.089,129.089,171.966,171.966,0,0,400.369,400.369,909.344,909.344,52.358,52.358,47,47,0,0,10.733,10.733,10.733,4961.526,4901.226,4647.983,4719.558,4529.458,4484.193,445.634,400.369,210.268,1929.026,1615.483,419.558,184.193,2
12,10,0,1909.113,230.926,374.648,12.027,16.023,0.82,49.79,47,0,0.95,5,510.881,186.614,342.892,0,0,0.844,456.785,153.023,901.001,488.304,28.509,3.003,601.001,8.299,6.152,8.592,48.339,47,0,186.614,186.614,153.023,153.023,342.892,342.892,456.785,456.785,0,0,374.648,374.648,901.001,901.001,49.79,49.79,47,47,0,0,28.509,28.509,28.509,5494.95,4941.613,4539.991,4832.409,4530.926,3630.979,1274.595,374.648,73.165,2462.45,1507.491,532.409,-669.021,2
13,11,0,1295.852,225.64,442.788,12.027,16.023,0.82,48.339,47,0,0.95,6,224.469,67.807,150.658,0,0,0.844,200.7,55.601,895.267,234.283,12.526,2.984,595.267,8.141,6.015,8.431,47.617,47,0,67.807,67.807,55.601,55.601,150.658,150.658,200.7,200.7,0,0,442.788,442.788,895.267,895.267,48.339,48.339,47,47,0,0,12.526,12.526,12.526,5295.405,4328.352,4182.421,4635.184,4525.64,4130.225,838.203,442.788,333.244,2262.905,1149.921,335.184,-169.775,2
14,11,0.3,1295.852,225.64,0.001,12.027,16.023,0.82,48.122,47,0,0.95,6.3,783.159,0,525.639,0,0,0.844,700.233,0,895.267,-209.648,43.703,2.984,595.267,8.141,6.015,8.431,48.669,47,0,0,0,60.976,0,525.639,525.639,700.233,700.233,0,0,0.001,0.001,895.267,895.267,48.122,48.122,47,47,0,0,43.703,43.703,43.703,4734.38,4328.352,4093.654,4600.001,4525.64,4220.849,304.791,0.001,0,1701.88,1061.154,300.001,-79.151,2
15,11,0.7,1295.852,225.64,442.788,12.027,16.023,0.82,48.341,47,0,0.95,6.7,224.22,67.64,150.491,0,0,0.844,200.478,55.464,895.267,234.643,12.512,2.984,595.267,8.141,6.015,8.431,47.618,47,0,67.64,67.64,55.464,55.464,150.491,150.491,200.478,200.478,0,0,442.788,442.788,895.267,895.267,48.341,48.341,47,47,0,0,12.512,12.512,12.512,5295.765,4328.352,4182.781,4634.915,4525.64,4130.664,837.764,442.788,333.513,2263.265,1150.281,334.915,-169.336,2
16,12,0,1210.566,232.605,473.696,12.027,16.023,0.82,48.124,47,0,0.95,7,276.265,259.706,0,529.141,-210.526,0.522,0,212.959,890.921,196.686,0,2.97,590.921,8.021,5.911,8.309,47.51,47,200,259.706,259.706,212.959,212.959,0,0,212.959,0,-210.526,-210.526,473.696,473.696,890.921,890.921,48.124,48.124,47,47,0,0,0,0,0,6326.107,4243.066,4030.107,inf,4532.605,4003.464,1002.837,473.696,0,3293.607,997.607,inf,-296.536,2
17,13,0,1295.831,245.7,448.744,12.027,16.023,0.82,47.51,47,200,0.95,8,311.084,498.876,0,595.832,0,0.522,0,409.078,887.428,89.324,0,2.958,587.428,7.925,5.827,8.211,47.205,47,200,498.876,498.876,409.078,409.078,0,0,302.426,0,0,0,448.744,448.744,887.428,887.428,47.51,47.51,47,47,200,200,0,0,0,6215.253,4328.331,3919.253,inf,4545.7,3949.868,1044.576,448.744,0,3182.753,886.753,inf,-350.132,2
18,14,0,1221.183,215.771,458.029,12.027,16.023,0.82,47.205,47,200,0.95,9,278.962,476.565,0,534.308,0,0.522,0,390.784,884.513,35.886,0,2.948,584.513,7.844,5.757,8.129,47.054,47,200,476.565,476.565,390.784,390.784,0,0,271.198,0,0,0,458.029,458.029,884.513,884.513,47.205,47.205,47,47,200,200,0,0,0,6158.899,4253.683,3862.899,inf,4515.771,3981.463,992.337,458.029,0,3126.399,830.399,inf,-318.537,2
19,14,0.5,1621.183,315.771,458.029,12.027,16.023,0.82,47.13,47,200,0.95,9.5,594.251,980.452,0,1138.194,0,0.522,0,803.97,884.513,22.699,0,2.948,584.513,7.844,5.757,8.129,47.017,47,200,980.452,980.452,803.97,803.97,0,0,577.712,0,0,0,458.029,458.029,884.513,884.513,47.13,47.13,47,47,200,200,0,0,0,6145.712,4653.683,3849.712,inf,4615.771,3477.577,1596.223,458.029,0,3113.212,817.212,inf,-822.423,1
